x,w_analytical,M_analytical
3.073073073073073203e-01,-1.094388946885353070e-02,-2.399115832549265974e+02
3.083083083083082987e-01,-1.100763103966551776e-02,-2.392186981776571315e+02
3.093093093093093326e-01,-1.107150963553773203e-02,-2.385268151033916411e+02
3.103103103103103111e-01,-1.113552486015798038e-02,-2.378359340321302398e+02
3.113113113113112895e-01,-1.119967631778801681e-02,-2.371460549638728139e+02
3.123123123123123235e-01,-1.126396361326355462e-02,-2.364571778986193351e+02
3.133133133133133019e-01,-1.132838635199424730e-02,-2.357693028363699170e+02
3.143143143143143359e-01,-1.139294413996369895e-02,-2.350824297771244460e+02
3.153153153153153143e-01,-1.145763658372946428e-02,-2.343965587208830357e+02
3.163163163163162928e-01,-1.152246329042304514e-02,-2.337116896676456008e+02
3.173173173173173267e-01,-1.158742386774990613e-02,-2.330278226174122267e+02
3.183183183183183051e-01,-1.165251792398943817e-02,-2.323449575701828280e+02
3.193193193193193391e-01,-1.171774506799500883e-02,-2.316630945259573764e+02
3.203203203203203175e-01,-1.178310490919390850e-02,-2.309822334847359855e+02
3.213213213213212960e-01,-1.184859705758739556e-02,-2.303023744465185985e+02
3.223223223223223299e-01,-1.191422112375067205e-02,-2.296235174113051585e+02
3.233233233233233084e-01,-1.197997671883289234e-02,-2.289456623790958076e+02
3.243243243243243423e-01,-1.204586345455715274e-02,-2.282688093498904323e+02
3.253253253253253208e-01,-1.211188094322050886e-02,-2.275929583236890608e+02
3.263263263263262992e-01,-1.217802879769395649e-02,-2.269181093004917216e+02
3.273273273273273332e-01,-1.224430663142245072e-02,-2.262442622802983010e+02
3.283283283283283116e-01,-1.231071405842489030e-02,-2.255714172631089696e+02
3.293293293293293456e-01,-1.237725069329412113e-02,-2.248995742489235568e+02
3.303303303303303240e-01,-1.244391615119694663e-02,-2.242287332377422899e+02
3.313313313313313024e-01,-1.251071004787411046e-02,-2.235588942295649417e+02
3.323323323323323364e-01,-1.257763199964032075e-02,-2.228900572243915690e+02
3.333333333333333148e-01,-1.264468162338421540e-02,-2.222222222222222285e+02
3.343343343343343488e-01,-1.271185853656839858e-02,-2.215553892230568636e+02
3.353353353353353272e-01,-1.277916235722940767e-02,-2.208895582268955593e+02
3.363363363363363057e-01,-1.284659270397774632e-02,-2.202247292337382305e+02
3.373373373373373396e-01,-1.291414919599786527e-02,-2.195609022435849624e+02
3.383383383383383181e-01,-1.298183145304815031e-02,-2.188980772564356414e+02
3.393393393393393520e-01,-1.304963909546095514e-02,-2.182362542722902958e+02
3.403403403403403304e-01,-1.311757174414257023e-02,-2.175754332911490110e+02
3.413413413413413644e-01,-1.318562902057324009e-02,-2.169156143130116732e+02
3.423423423423423428e-01,-1.325381054680715986e-02,-2.162567973378783961e+02
3.433433433433433213e-01,-1.332211594547247184e-02,-2.155989823657491229e+02
3.443443443443443552e-01,-1.339054483977127064e-02,-2.149421693966238536e+02
3.453453453453453337e-01,-1.345909685347959975e-02,-2.142863584305025881e+02
3.463463463463463676e-01,-1.352777161094745155e-02,-2.136315494673852982e+02
3.473473473473473461e-01,-1.359656873709876555e-02,-2.129777425072720121e+02
3.483483483483483245e-01,-1.366548785743143535e-02,-2.123249375501627583e+02
3.493493493493493585e-01,-1.373452859801730687e-02,-2.116731345960574799e+02
3.503503503503503369e-01,-1.380369058550216105e-02,-2.110223336449562908e+02
3.513513513513513709e-01,-1.387297344710575198e-02,-2.103725346968590202e+02
3.523523523523523493e-01,-1.394237681062175140e-02,-2.097237377517657819e+02
3.533533533533533277e-01,-1.401190030441781288e-02,-2.090759428096765760e+02
3.543543543543543617e-01,-1.408154355743552501e-02,-2.084291498705912886e+02
3.553553553553553401e-01,-1.415130619919042175e-02,-2.077833589345100904e+02
3.563563563563563741e-01,-1.422118785977199117e-02,-2.071385700014328108e+02
3.573573573573573525e-01,-1.429118816984367366e-02,-2.064947830713596773e+02
3.583583583583583310e-01,-1.436130676064285676e-02,-2.058519981442904623e+02
3.593593593593593649e-01,-1.443154326398088036e-02,-2.052102152202252228e+02
3.603603603603603434e-01,-1.450189731224302454e-02,-2.045694342991640156e+02
3.613613613613613773e-01,-1.457236853838853562e-02,-2.039296553811068122e+02
3.623623623623623557e-01,-1.464295657595058621e-02,-2.032908784660536412e+02
3.633633633633633342e-01,-1.471366105903632038e-02,-2.026531035540044456e+02
3.643643643643643681e-01,-1.478448162232682585e-02,-2.020163306449592824e+02
3.653653653653653466e-01,-1.485541790107713055e-02,-2.013805597389181230e+02
