x,w_analytical,M_analytical
1.691691691691691590e-01,-3.818325761597839065e-03,7.027548068589109675e+01
1.701701701701701652e-01,-3.838516176103681267e-03,7.060614167721274725e+01
1.711711711711711714e-01,-3.858666147299402022e-03,7.093580066553039387e+01
1.721721721721721776e-01,-3.878775486355586551e-03,7.126445765084403661e+01
1.731731731731731838e-01,-3.898844005016768952e-03,7.159211263315367546e+01
1.741741741741741623e-01,-3.918871515601432196e-03,7.191876561245931043e+01
1.751751751751751685e-01,-3.938857831002010729e-03,7.224441658876092731e+01
1.761761761761761746e-01,-3.958802764684886573e-03,7.256906556205855452e+01
1.771771771771771808e-01,-3.978706130690392792e-03,7.289271253235217785e+01
1.781781781781781870e-01,-3.998567743632810458e-03,7.321535749964179729e+01
1.791791791791791655e-01,-4.018387418700370382e-03,7.353700046392738443e+01
1.801801801801801717e-01,-4.038164971655256591e-03,7.385764142520899611e+01
1.811811811811811779e-01,-4.057900218833597646e-03,7.417728038348658970e+01
1.821821821821821841e-01,-4.077592977145476187e-03,7.449591733876017940e+01
1.831831831831831903e-01,-4.097243064074919394e-03,7.481355229102977944e+01
1.841841841841841965e-01,-4.116850297679907657e-03,7.513018524029534717e+01
1.851851851851851749e-01,-4.136414496592370239e-03,7.544581618655692523e+01
1.861861861861861811e-01,-4.155935480018186148e-03,7.576044512981449941e+01
1.871871871871871873e-01,-4.175413067737184999e-03,7.607407207006806971e+01
1.881881881881881935e-01,-4.194847080103142681e-03,7.638669700731763612e+01
1.891891891891891997e-01,-4.214237338043788292e-03,7.669831994156318444e+01
1.901901901901901781e-01,-4.233583663060796337e-03,7.700894087280474309e+01
1.911911911911911843e-01,-4.252885877229796267e-03,7.731855980104228365e+01
1.921921921921921905e-01,-4.272143803200363806e-03,7.762717672627582033e+01
1.931931931931931967e-01,-4.291357264196023549e-03,7.793479164850536733e+01
1.941941941941942029e-01,-4.310526084014252440e-03,7.824140456773089625e+01
1.951951951951951814e-01,-4.329650087026474560e-03,7.854701548395242128e+01
1.961961961961961876e-01,-4.348729098178065466e-03,7.885162439716994243e+01
1.971971971971971938e-01,-4.367762942988348725e-03,7.915523130738345969e+01
1.981981981981981999e-01,-4.386751447550599377e-03,7.945783621459297308e+01
1.991991991991992061e-01,-4.405694438532037870e-03,7.975943911879846837e+01
2.002002002002001846e-01,-4.424591743173840463e-03,8.006004001999998820e+01
2.012012012012011908e-01,-4.443443189291127957e-03,8.035963891819747573e+01
2.022022022022021970e-01,-4.462248605272972624e-03,8.065823581339095938e+01
2.032032032032032032e-01,-4.481007820082398216e-03,8.095583070558045335e+01
2.042042042042042094e-01,-4.499720663256374757e-03,8.125242359476592924e+01
2.052052052052052156e-01,-4.518386964905821146e-03,8.154801448094741545e+01
2.062062062062061940e-01,-4.537006555715612094e-03,8.184260336412488357e+01
2.072072072072072002e-01,-4.555579266944564248e-03,8.213619024429834781e+01
2.082082082082082064e-01,-4.574104930425449203e-03,8.242877512146782237e+01
2.092092092092092126e-01,-4.592583378564984824e-03,8.272035799563326464e+01
2.102102102102102188e-01,-4.611014444343841320e-03,8.301093886679471723e+01
2.112112112112111972e-01,-4.629397961316637777e-03,8.330051773495216594e+01
2.122122122122122034e-01,-4.647733763611940419e-03,8.358909460010561077e+01
2.132132132132132096e-01,-4.666021685932269548e-03,8.387666946225505171e+01
2.142142142142142158e-01,-4.684261563554090874e-03,8.416324232140047457e+01
2.152152152152152220e-01,-4.702453232327820712e-03,8.444881317754189354e+01
2.162162162162162282e-01,-4.720596528677825122e-03,8.473338203067933705e+01
2.172172172172172067e-01,-4.738691289602421641e-03,8.501694888081274826e+01
2.182182182182182129e-01,-4.756737352673876679e-03,8.529951372794216979e+01
2.192192192192192191e-01,-4.774734556038403785e-03,8.558107657206755903e+01
2.202202202202202252e-01,-4.792682738416168854e-03,8.586163741318895859e+01
2.212212212212212314e-01,-4.810581739101284920e-03,8.614119625130636848e+01
2.222222222222222099e-01,-4.828431397961816494e-03,8.641975308641974607e+01
2.232232232232232161e-01,-4.846231555439777829e-03,8.669730791852913399e+01
2.242242242242242223e-01,-4.863982052551132917e-03,8.697386074763451802e+01
2.252252252252252285e-01,-4.881682730885793763e-03,8.724941157373589817e+01
2.262262262262262347e-01,-4.899333432607621240e-03,8.752396039683327444e+01
2.272272272272272131e-01,-4.916934000454430305e-03,8.779750721692663262e+01
2.282282282282282193e-01,-4.934484277737979582e-03,8.807005203401600113e+01
2.292292292292292255e-01,-4.951984108343982643e-03,8.834159484810135154e+01
2.302302302302302317e-01,-4.969433336732098465e-03,8.861213565918269808e+01
2.312312312312312379e-01,-4.986831807935938367e-03,8.888167446726005494e+01
2.322322322322322163e-01,-5.004179367563060810e-03,8.915021127233337950e+01
2.332332332332332225e-01,-5.021475861794978332e-03,8.941774607440272860e+01
2.342342342342342287e-01,-5.038721137387148011e-03,8.968427887346805960e+01
2.352352352352352349e-01,-5.055915041668977532e-03,8.994980966952938672e+01
2.362362362362362411e-01,-5.073057422543828660e-03,9.021433846258670997e+01
2.372372372372372473e-01,-5.090148128489005094e-03,9.047786525264002933e+01
2.382382382382382258e-01,-5.107187008555767217e-03,9.074039003968934480e+01
2.392392392392392320e-01,-5.124173912369322549e-03,9.100191282373462798e+01
2.402402402402402382e-01,-5.141108690128824883e-03,9.126243360477594990e+01
2.412412412412412444e-01,-5.157991192607382092e-03,9.152195238281325373e+01
2.422422422422422505e-01,-5.174821271152050053e-03,9.178046915784653947e+01
2.432432432432432290e-01,-5.191598777683834390e-03,9.203798392987582133e+01
2.442442442442442352e-01,-5.208323564697690464e-03,9.229449669890109931e+01
2.452452452452452414e-01,-5.224995485262522513e-03,9.255000746492237340e+01
2.462462462462462476e-01,-5.241614393021184516e-03,9.280451622793964361e+01
2.472472472472472538e-01,-5.258180142190480195e-03,9.305802298795292415e+01
2.482482482482482600e-01,-5.274692587561163014e-03,9.331052774496220081e+01
2.492492492492492384e-01,-5.291151584497935309e-03,9.356203049896741675e+01
2.502502502502502724e-01,-5.307556988939451763e-03,9.381253124996869985e+01
2.512512512512512508e-01,-5.323908657398312462e-03,9.406202999796593645e+01
2.522522522522522292e-01,-5.340206446961070705e-03,9.431052674295916916e+01
2.532532532532532632e-01,-5.356450215288227797e-03,9.455802148494842641e+01
2.542542542542542416e-01,-5.372639820614232183e-03,9.480451422393363714e+01
2.552552552552552756e-01,-5.388775121747488121e-03,9.505000495991487242e+01
2.562562562562562540e-01,-5.404855978070342674e-03,9.529449369289210381e+01
2.572572572572572325e-01,-5.420882249539096115e-03,9.553798042286528869e+01
2.582582582582582664e-01,-5.436853796684000192e-03,9.578046514983452653e+01
2.592592592592592449e-01,-5.452770480609250327e-03,9.602194787379971785e+01
2.602602602602602788e-01,-5.468632162992998619e-03,9.626242859476093372e+01
2.612612612612612573e-01,-5.484438706087340840e-03,9.650190731271813149e+01
